fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
9.9,0.4,0.53,6.7,9.699.999.999.999.990,6.0,19.0,9.986,3.27,0.82,11.7,7,413
8.8,0.52,0.34,2.7,87,24.0,122.0,9.982,3.26,0.61,9.5,5,414
8.6,725,0.24,6.6,11.699.999.999.999.900,31.0,134.0,1.2014,3.32,01.07,9.3,5,415
10.6,0.48,0.64,2.2,111,6.0,20.0,997,3.26,0.66,11.7,6,416
7.0,0.58,0.12,1.9,91,34.0,124.0,9.956,3.44,0.48,10.5,5,417
11.9,0.38,0.51,2.0,121,7.0,20.0,9.996,3.24,0.76,10.4,6,418
6.8,0.77,0.0,1.8,66,34.0,52.0,9.976,3.62,0.68,9.9,5,419
6.6,0.84,0.03,2.3,59.000.000.000.000.000,32.0,48.0,9.952,3.52,0.56,12.3,7,421
7.7,0.96,0.2,2.0,47,15.0,60.0,9.955,3.36,0.44,10.9,5,422
10.5,0.24,0.47,2.1,66,6.0,24.0,9.978,3.15,0.9,11.0,7,423
6.6,0.84,0.03,2.3,59.000.000.000.000.000,32.0,48.0,9.952,3.52,0.56,12.3,7,425
6.4,0.67,0.08,2.1,45,19.0,48.0,9.949,3.49,0.49,11.4,6,426
9.5,0.78,0.22,1.9,77,6.0,32.0,9.988,3.26,0.56,10.6,6,427
9.1,0.52,0.33,1.3,0.07,9.0,30.0,9.978,3.24,0.6,9.3,5,428
12.8,0.84,0.63,2.4,8.800.000.000.000.000,13.0,35.0,9.997,3.1,0.6,10.4,6,429
10.5,0.24,0.47,2.1,66,6.0,24.0,9.978,3.15,0.9,11.0,7,430
7.8,0.55,0.35,2.2,7.400.000.000.000.000,21.0,66.0,9.974,3.25,0.56,9.2,5,431
12.3,0.39,0.63,2.3,91,6.0,18.0,1.2004,3.16,0.49,9.5,5,433
10.4,0.41,0.55,3.2,76,22.0,54.0,9.996,3.15,0.89,9.9,6,434
12.3,0.39,0.63,2.3,91,6.0,18.0,1.2004,3.16,0.49,9.5,5,435
8.0,0.67,0.3,2.0,0.06,38.0,62.0,9.958,3.26,0.56,10.2,6,436
11.1,0.45,0.73,3.2,66,6.0,22.0,9.986,3.17,0.66,11.2,6,437
7.0,0.62,0.18,1.5,62,7.0,50.0,9.951,03.08,0.6,9.3,5,439
12.6,0.31,0.72,2.2,7.200.000.000.000.000,6.0,29.0,9.987,2.88,0.82,9.8,8,440
15.6,685,0.76,3.7,0.1,6.0,43.0,1.1932,2.95,0.68,11.2,7,442
5.3,0.57,0.01,1.7,54.000.000.000.000.000,5.0,27.0,9.934,3.57,0.84,12.5,7,444
12.5,0.38,0.6,2.6,81,31.0,72.0,9.996,3.1,0.73,10.5,5,446
9.3,0.48,0.29,2.1,127,6.0,16.0,9.968,3.22,0.72,11.2,5,447
8.6,0.53,0.22,2.0,0.1,7.0,27.0,9.967,3.2,0.56,10.2,6,448
11.9,0.39,0.69,2.8,95,17.0,35.0,9.994,3.1,0.61,10.8,6,449
11.9,0.39,0.69,2.8,95,17.0,35.0,9.994,3.1,0.61,10.8,6,450
6.8,0.56,0.03,1.7,84,18.0,35.0,9.968,3.44,0.63,10.0,6,452
10.4,0.33,0.63,2.8,84,5.0,22.0,9.998,3.26,0.74,11.2,7,453
7.0,0.23,0.4,1.6,63,21.0,67.0,9.952,3.5,0.63,11.1,5,454
11.3,0.62,0.67,5.2,86,6.0,19.0,9.988,3.22,0.69,13.4,8,455
8.9,0.59,0.39,2.3,95,5.0,22.0,9.986,3.37,0.58,10.3,5,456
9.2,0.63,0.21,2.7,9.699.999.999.999.990,29.0,65.0,9.988,3.28,0.58,9.6,5,457
11.6,0.58,0.66,2.2,7.400.000.000.000.000,10.0,47.0,1.2008,3.25,0.57,9.0,3,459
9.2,0.43,0.52,2.3,83,14.0,23.0,9.976,3.35,0.61,11.3,6,460
8.3,615,0.22,2.6,87,6.0,19.0,9.982,3.26,0.61,9.3,5,461
11.5,315,0.54,2.1,84,5.0,15.0,9.987,2.98,0.7,9.2,6,464
10.3,0.5,0.42,2.0,69,21.0,51.0,9.982,3.16,0.72,11.5,6,466
8.8,0.46,0.45,2.6,65,7.0,18.0,9.947,3.32,0.79,14.0,6,467
11.4,0.36,0.69,2.1,0.09,6.0,21.0,1.0,3.17,0.62,9.2,6,468
8.7,0.82,0.02,1.2,0.07,36.0,48.0,9.952,3.2,0.58,9.8,5,469
13.0,0.32,0.65,2.6,9.300.000.000.000.000,15.0,47.0,9.996,03.05,0.61,10.6,5,470
9.6,0.54,0.42,2.4,81,25.0,52.0,997,3.2,0.71,11.4,6,471
12.5,0.37,0.55,2.6,83,25.0,68.0,9.995,3.15,0.82,10.4,6,472
9.6,0.68,0.24,2.2,87,5.0,28.0,9.988,3.14,0.6,10.2,5,475
9.3,0.27,0.41,2.0,91,6.0,16.0,998,3.28,0.7,9.7,5,476
10.4,0.24,0.49,1.8,75,6.0,20.0,9.977,3.18,01.06,11.0,6,477
9.4,685,0.11,2.7,77,6.0,31.0,9.984,3.19,0.7,10.1,6,479
10.6,0.28,0.39,15.5,69,6.0,23.0,1.2026,3.12,0.66,9.2,5,480
9.4,0.3,0.56,2.8,0.08,6.0,17.0,9.964,3.15,0.92,11.7,8,481
10.6,0.36,0.6,2.2,152,7.0,18.0,9.986,03.04,01.06,9.4,5,483
10.2,0.67,0.39,1.9,54.000.000.000.000.000,6.0,17.0,9.976,3.17,0.47,10.0,5,485
10.2,645,0.36,1.8,53,5.0,14.0,9.982,3.17,0.42,10.0,6,487
9.3,0.39,0.4,2.6,73,10.0,26.0,9.984,3.34,0.75,10.2,6,489
9.2,0.41,0.5,2.5,55,12.0,25.0,9.952,3.34,0.79,13.3,7,491
8.9,0.4,0.51,2.6,52.000.000.000.000.000,13.0,27.0,995,3.32,0.9,13.4,7,492
8.7,0.69,0.31,3.0,86,23.0,81.0,1.2002,3.48,0.74,11.6,6,493
6.5,0.39,0.23,8.3,51,28.0,91.0,9.952,3.44,0.55,12.1,6,494
10.7,0.35,0.53,2.6,0.07,5.0,16.0,9.972,3.15,0.65,11.0,8,495
7.8,0.52,0.25,1.9,81,14.0,38.0,9.984,3.43,0.65,9.0,6,496
7.2,0.34,0.32,2.5,0.09,43.0,113.0,9.966,3.32,0.79,11.1,5,497
10.7,0.35,0.53,2.6,0.07,5.0,16.0,9.972,3.15,0.65,11.0,8,498
8.7,0.69,0.31,3.0,86,23.0,81.0,1.2002,3.48,0.74,11.6,6,499
7.8,0.52,0.25,1.9,81,14.0,38.0,9.984,3.43,0.65,9.0,6,500
10.4,0.44,0.73,6.55,7.400.000.000.000.000,38.0,76.0,9.990.000.000.000.000,3.17,0.85,12.0,7,501
10.4,0.44,0.73,6.55,7.400.000.000.000.000,38.0,76.0,9.990.000.000.000.000,3.17,0.85,12.0,7,502
10.5,0.24,0.42,1.8,77,6.0,22.0,9.976,3.21,01.05,10.8,7,504
10.2,0.49,0.63,2.9,7.200.000.000.000.000,10.0,26.0,9.968,3.16,0.78,12.5,7,505
10.4,0.24,0.46,1.8,75,6.0,21.0,9.976,3.25,01.02,10.8,7,506
11.2,0.67,0.55,2.3,84,6.0,13.0,1.0,3.17,0.71,9.5,6,507
13.3,0.29,0.75,2.8,84,23.0,43.0,9.986,03.04,0.68,11.4,7,509
10.0,0.59,0.31,2.2,0.09,26.0,62.0,9.994,3.18,0.63,10.2,6,511
10.7,0.4,0.48,2.1,125,15.0,49.0,998,03.03,0.81,9.7,6,512
10.5,0.51,0.64,2.4,107,6.0,15.0,9.973,03.09,0.66,11.8,7,513
10.5,0.51,0.64,2.4,107,6.0,15.0,9.973,03.09,0.66,11.8,7,514
8.5,655,0.49,6.1,122,34.0,151.0,1.001,3.31,1.14,9.3,5,515
12.5,0.6,0.49,4.3,0.1,5.0,14.0,1.001,3.25,0.74,11.9,6,516
10.4,0.61,0.49,2.1,0.2,5.0,16.0,9.994,3.16,0.63,8.4,3,517
9.8,0.25,0.49,2.7,8.800.000.000.000.000,15.0,33.0,9.982,3.42,0.9,10.0,6,520
9.3,0.4,0.49,2.5,85,38.0,142.0,9.978,3.22,0.55,9.4,5,523
9.2,0.43,0.49,2.4,86,23.0,116.0,9.976,3.23,0.64,9.5,5,524
7.0,0.38,0.49,2.5,9.699.999.999.999.990,33.0,85.0,9.962,3.39,0.77,11.4,6,527
9.9,0.63,0.24,2.4,77,6.0,33.0,9.974,03.09,0.57,9.4,5,529
9.1,0.22,0.24,2.1,78,1.0,28.0,9.990.000.000.000.000,3.41,0.87,10.3,6,530
11.9,0.38,0.49,2.7,98,12.0,42.0,1.2004,3.16,0.61,10.3,5,531
11.9,0.38,0.49,2.7,98,12.0,42.0,1.2004,3.16,0.61,10.3,5,532
10.3,0.27,0.24,2.1,7.200.000.000.000.000,15.0,33.0,9.956,3.22,0.66,12.8,6,533
10.0,0.48,0.24,2.7,102,13.0,32.0,1.0,3.28,0.56,10.0,6,534
9.1,0.22,0.24,2.1,78,1.0,28.0,9.990.000.000.000.000,3.41,0.87,10.3,6,535
9.9,0.63,0.24,2.4,77,6.0,33.0,9.974,03.09,0.57,9.4,5,536
8.1,825,0.24,2.1,84,5.0,13.0,9.972,3.37,0.77,10.7,6,537
12.9,0.35,0.49,5.8,66,5.0,35.0,1.2014,3.2,0.66,12.0,7,538
11.2,0.5,0.74,5.15,0.1,5.0,17.0,9.996,3.22,0.62,11.2,5,539
9.2,0.59,0.24,3.3,10.099.999.999.999.900,20.0,47.0,9.988,3.26,0.67,9.6,5,540
9.5,0.46,0.49,6.3,64,5.0,17.0,9.988,3.21,0.73,11.0,6,541
9.3,715,0.24,2.1,0.07,5.0,20.0,9.966,3.12,0.59,9.9,5,542
11.2,0.66,0.24,2.5,85,16.0,53.0,9.993,03.06,0.72,11.0,6,543
14.3,0.31,0.74,1.8,75,6.0,15.0,1.2008,2.86,0.79,8.4,6,544
9.1,0.47,0.49,2.6,94,38.0,106.0,9.982,03.08,0.59,9.1,5,545
7.5,0.55,0.24,2.0,78,10.0,28.0,9.983,3.45,0.78,9.5,6,546
10.6,0.31,0.49,2.5,67,6.0,21.0,9.987,3.26,0.86,10.7,6,547
12.4,0.35,0.49,2.6,79,27.0,69.0,9.994,3.12,0.75,10.4,6,548
6.8,0.51,0.01,2.1,7.400.000.000.000.000,9.0,25.0,9.958,3.33,0.56,9.5,6,550
9.4,0.43,0.24,2.8,92,14.0,45.0,998,3.19,0.73,10.0,6,551
9.5,0.46,0.24,2.7,92,14.0,44.0,998,3.12,0.74,10.0,6,552
5.0,01.04,0.24,1.6,0.05,32.0,96.0,9.934,3.74,0.62,11.5,5,553
15.5,645,0.49,4.2,95,10.0,23.0,100.315,2.92,0.74,11.1,5,554
10.9,0.53,0.49,4.6,11.800.000.000.000.000,10.0,17.0,1.2002,03.07,0.56,11.7,6,556
15.6,645,0.49,4.2,95,10.0,23.0,100.315,2.92,0.74,11.1,5,557
13.0,0.47,0.49,4.3,85,6.0,47.0,1.2021,3.3,0.68,12.7,6,559
12.7,0.6,0.49,2.8,75,5.0,19.0,9.994,3.14,0.57,11.4,5,560
9.0,0.54,0.49,2.9,94,41.0,110.0,9.982,03.08,0.61,9.2,5,562
7.6,0.29,0.49,2.7,92,25.0,60.0,9.971,3.31,0.61,10.1,6,563
13.0,0.47,0.49,4.3,85,6.0,47.0,1.2021,3.3,0.68,12.7,6,564
12.7,0.6,0.49,2.8,75,5.0,19.0,9.994,3.14,0.57,11.4,5,565
8.7,0.7,0.24,2.5,226,5.0,15.0,9.991,3.32,0.6,9.0,6,567
9.8,0.5,0.49,2.6,0.25,5.0,20.0,9.990.000.000.000.000,3.31,0.79,10.7,6,568
6.2,0.36,0.24,2.2,95,19.0,42.0,9.946,3.57,0.57,11.7,6,569
11.5,0.35,0.49,3.3,0.07,10.0,37.0,1.2003,3.32,0.91,11.0,6,570
10.2,0.24,0.49,2.4,75,10.0,28.0,9.978,3.14,0.61,10.4,5,572
9.9,0.5,0.24,2.3,10.300.000.000.000.000,6.0,14.0,9.978,3.34,0.52,10.0,4,576
8.8,0.44,0.49,2.8,83,18.0,111.0,9.982,3.3,0.6,9.5,5,577
8.8,0.47,0.49,2.9,85,17.0,110.0,9.982,3.29,0.6,9.8,5,578
10.6,0.31,0.49,2.2,63,18.0,40.0,9.976,3.14,0.51,9.8,6,579
12.3,0.5,0.49,2.2,8.900.000.000.000.000,5.0,14.0,1.2002,3.19,0.44,9.6,5,580
12.3,0.5,0.49,2.2,8.900.000.000.000.000,5.0,14.0,1.2002,3.19,0.44,9.6,5,581
12.0,0.28,0.49,1.9,7.400.000.000.000.000,10.0,21.0,9.976,2.98,0.66,9.9,7,583
7.3,0.73,0.24,1.9,10.800.000.000.000.000,18.0,102.0,9.967,3.26,0.59,9.3,5,587
5.0,0.42,0.24,2.0,0.06,19.0,50.0,9.917,3.72,0.74,14.0,8,588
9.0,0.45,0.49,2.6,84,21.0,75.0,9.987,3.35,0.57,9.7,5,590
6.6,0.39,0.49,1.7,0.07,23.0,149.0,9.922,3.12,0.5,11.5,6,591
9.0,0.45,0.49,2.6,84,21.0,75.0,9.987,3.35,0.57,9.7,5,592
9.9,0.49,0.58,3.5,94,9.0,43.0,1.2004,3.29,0.58,9.0,5,593
8.9,595,0.41,7.9,86,30.0,109.0,9.998,3.27,0.57,9.3,5,595
12.4,0.4,0.51,2.0,59.000.000.000.000.000,6.0,24.0,9.994,03.04,0.6,9.3,6,596
8.5,585,0.18,2.1,78,5.0,30.0,9.967,3.2,0.48,9.8,6,598
7.7,835,0.0,2.6,81,6.0,14.0,9.975,3.3,0.52,9.3,5,602
8.3,0.58,0.13,2.9,96,14.0,63.0,9.984,3.17,0.62,9.1,6,604
8.8,0.48,0.41,3.3,92,26.0,52.0,9.982,3.31,0.53,10.5,6,607
10.1,0.65,0.37,5.1,0.11,11.0,65.0,1.2026,3.32,0.64,10.4,6,608
6.3,0.36,0.19,3.2,75,15.0,39.0,9.956,3.56,0.52,12.7,6,609
8.8,0.24,0.54,2.5,83,25.0,57.0,9.983,3.39,0.54,9.2,5,610
13.2,0.38,0.55,2.7,81,5.0,16.0,1.2006,2.98,0.54,9.4,5,611
7.5,0.64,0.0,2.4,77,18.0,29.0,9.965,3.32,0.6,10.0,6,612
9.6,0.6,0.5,2.3,79,28.0,71.0,9.997,3.5,0.57,9.7,5,616
11.5,0.31,0.51,2.2,79,14.0,28.0,9.982,03.03,0.93,9.8,6,617
11.3,0.37,0.41,2.3,8.800.000.000.000.000,6.0,16.0,9.988,03.09,0.8,9.3,5,619
8.3,0.54,0.24,3.4,76,16.0,112.0,9.976,3.27,0.61,9.4,5,620
8.2,0.56,0.23,3.4,78,14.0,104.0,9.976,3.28,0.62,9.4,5,621
10.0,0.58,0.22,1.9,0.08,9.0,32.0,9.974,3.13,0.55,9.5,5,622
6.8,0.69,0.0,5.6,124,21.0,58.0,9.997,3.46,0.72,10.2,5,625
8.8,0.6,0.29,2.2,98,5.0,15.0,9.988,3.36,0.49,9.1,5,626
8.8,0.6,0.29,2.2,98,5.0,15.0,9.988,3.36,0.49,9.1,5,627
8.7,0.54,0.26,2.5,9.699.999.999.999.990,7.0,31.0,9.976,3.27,0.6,9.3,6,628
7.6,685,0.23,2.3,111,20.0,84.0,9.964,3.21,0.61,9.3,5,629
8.7,0.54,0.26,2.5,9.699.999.999.999.990,7.0,31.0,9.976,3.27,0.6,9.3,6,630
10.4,0.28,0.54,2.7,105,5.0,19.0,9.988,3.25,0.63,9.5,5,631
7.6,0.41,0.14,3.0,87,21.0,43.0,9.964,3.32,0.57,10.5,6,632
10.1,935,0.22,3.4,105,11.0,86.0,1.001,3.43,0.64,11.3,4,633
7.9,0.35,0.21,1.9,73,46.0,102.0,9.964,3.27,0.58,9.5,5,634
8.7,0.84,0.0,1.4,65,24.0,33.0,9.954,3.27,0.55,9.7,5,635
9.6,0.88,0.28,2.4,86,30.0,147.0,9.979,3.24,0.53,9.4,5,636
9.5,885,0.27,2.3,84,31.0,145.0,9.978,3.24,0.53,9.4,5,637
8.9,0.29,0.35,1.9,67,25.0,57.0,997,3.18,1.36,10.3,6,639
9.9,0.54,0.45,2.3,71,16.0,40.0,9.991,3.39,0.62,9.4,5,640
9.9,0.54,0.45,2.3,71,16.0,40.0,9.991,3.39,0.62,9.4,5,642
9.9,0.54,0.45,2.3,71,16.0,40.0,9.991,3.39,0.62,9.4,5,644
8.3,845,0.01,2.2,0.07,5.0,14.0,9.967,3.32,0.58,11.0,4,647
8.7,0.48,0.3,2.8,66,10.0,28.0,9.964,3.33,0.67,11.2,7,648
6.7,0.42,0.27,8.6,68,24.0,148.0,9.948,3.16,0.57,11.3,6,649
10.7,0.43,0.39,2.2,106,8.0,32.0,9.986,2.89,0.5,9.6,5,650
15.9,0.36,0.65,7.5,96,22.0,71.0,9.976,2.98,0.84,14.9,5,652
9.4,0.33,0.59,2.8,79,9.0,30.0,9.976,3.12,0.54,12.0,6,653
8.6,0.47,0.47,2.4,7.400.000.000.000.000,7.0,29.0,9.979,03.08,0.46,9.5,5,654
9.7,0.55,0.17,2.9,87,20.0,53.0,1.2004,3.14,0.61,9.4,5,655
10.7,0.43,0.39,2.2,106,8.0,32.0,9.986,2.89,0.5,9.6,5,656
12.0,0.5,0.59,1.4,73,23.0,42.0,998,2.92,0.68,10.5,7,657
7.2,0.52,0.07,1.4,7.400.000.000.000.000,5.0,20.0,9.973,3.32,0.81,9.6,6,658
7.2,0.52,0.07,1.4,7.400.000.000.000.000,5.0,20.0,9.973,3.32,0.81,9.6,6,660
7.5,0.42,0.31,1.6,0.08,15.0,42.0,9.978,3.31,0.64,9.0,5,661
7.2,0.57,0.06,1.6,76,9.0,27.0,9.972,3.36,0.7,9.6,6,662
9.4,0.59,0.14,2.0,84,25.0,48.0,9.981,3.14,0.56,9.7,5,665
8.3,0.49,0.36,1.8,222,6.0,16.0,998,3.18,0.6,9.5,6,666
11.3,0.34,0.45,2.0,8.199.999.999.999.990,6.0,15.0,9.988,2.94,0.66,9.2,6,667
11.3,0.34,0.45,2.0,8.199.999.999.999.990,6.0,15.0,9.988,2.94,0.66,9.2,6,669
8.2,0.73,0.21,1.7,7.400.000.000.000.000,5.0,13.0,9.968,3.2,0.52,9.5,5,671
8.2,0.73,0.21,1.7,7.400.000.000.000.000,5.0,13.0,9.968,3.2,0.52,9.5,5,673
10.8,0.4,0.41,2.2,84,7.0,17.0,9.984,03.08,0.67,9.3,6,676
8.6,0.8,0.11,2.3,84,12.0,31.0,9.979,3.4,0.48,9.9,5,677
8.3,0.78,0.1,2.6,81,45.0,87.0,9.983,3.48,0.53,10.0,5,678
10.8,0.26,0.45,3.3,0.06,20.0,49.0,9.972,3.13,0.54,9.6,5,679
8.0,0.45,0.23,2.2,94,16.0,29.0,9.962,3.21,0.49,10.2,6,681
8.5,0.46,0.31,2.25,78,32.0,58.0,998,3.33,0.54,9.8,5,682
8.1,0.78,0.23,2.6,59.000.000.000.000.000,5.0,15.0,997,3.37,0.56,11.3,5,683
9.8,0.98,0.32,2.3,78,35.0,152.0,998,3.25,0.48,9.4,5,684
8.1,0.78,0.23,2.6,59.000.000.000.000.000,5.0,15.0,997,3.37,0.56,11.3,5,685
7.7,0.66,0.04,1.6,39,4.0,9.0,9.962,3.4,0.47,9.4,5,688
8.1,0.38,0.48,1.8,157,5.0,17.0,9.976,3.3,01.05,9.4,5,689
9.2,0.92,0.24,2.6,87,12.0,93.0,9.998,3.48,0.54,9.8,5,691
8.6,0.49,0.51,2.0,42.200.000.000.000.000,16.0,62.0,9.979,03.03,1.17,9.0,5,692
9.0,0.48,0.32,2.8,84,21.0,122.0,9.984,3.32,0.62,9.4,5,693
9.0,0.47,0.31,2.7,84,24.0,125.0,9.984,3.31,0.61,9.4,5,694
5.1,0.47,0.02,1.3,34,18.0,44.0,9.921,3.9,0.62,12.8,6,695
7.0,0.65,0.02,2.1,66,8.0,25.0,9.972,3.47,0.67,9.5,6,697
9.4,615,0.28,3.2,87,18.0,72.0,1.2001,3.31,0.53,9.7,5,698
11.8,0.38,0.55,2.1,71,5.0,19.0,9.986,3.11,0.62,10.8,6,699
10.6,01.02,0.43,2.9,76,26.0,88.0,9.984,03.08,0.57,10.1,6,700
7.0,0.65,0.02,2.1,66,8.0,25.0,9.972,3.47,0.67,9.5,6,701
7.0,0.64,0.02,2.1,67,9.0,23.0,997,3.47,0.67,9.4,6,702
7.5,0.38,0.48,2.6,73,22.0,84.0,9.972,3.32,0.7,9.6,4,703
9.1,765,0.04,1.6,78,4.0,14.0,998,3.29,0.54,9.7,4,704
8.4,1.035,0.15,6.0,73,11.0,54.0,9.990.000.000.000.000,3.37,0.49,9.9,5,705
7.0,0.78,0.08,2.0,9.300.000.000.000.000,10.0,19.0,9.956,3.4,0.47,10.0,5,706
7.4,0.49,0.19,3.0,77,16.0,37.0,9.966,3.37,0.51,10.5,5,707
7.8,545,0.12,2.5,68,11.0,35.0,996,3.34,0.61,11.6,6,708
10.6,1.025,0.43,2.8,0.08,21.0,84.0,9.985,03.06,0.57,10.1,5,710
8.9,565,0.34,3.0,9.300.000.000.000.000,16.0,112.0,9.998,3.38,0.61,9.5,5,711
9.9,0.74,0.28,2.6,78,21.0,77.0,998,3.28,0.51,9.8,5,714
7.6,0.46,0.11,2.6,79,12.0,49.0,9.968,3.21,0.57,10.0,5,717
8.4,0.56,0.04,2.0,8.199.999.999.999.990,10.0,22.0,9.976,3.22,0.44,9.6,5,718
7.1,0.66,0.0,3.9,86,17.0,45.0,9.976,3.46,0.54,9.5,5,719
8.4,0.56,0.04,2.0,8.199.999.999.999.990,10.0,22.0,9.976,3.22,0.44,9.6,5,720
8.9,0.48,0.24,2.85,94,35.0,106.0,9.982,3.1,0.53,9.2,5,721
7.1,0.31,0.3,2.2,53,36.0,127.0,9.965,2.94,1.62,9.5,5,723
9.0,0.66,0.17,3.0,77,5.0,13.0,9.976,3.29,0.55,10.4,5,725
8.1,0.72,0.09,2.8,84,18.0,49.0,9.994,3.43,0.72,11.1,6,726
6.4,0.57,0.02,1.8,67,4.0,11.0,997,3.46,0.68,9.5,5,727
6.4,0.57,0.02,1.8,67,4.0,11.0,997,3.46,0.68,9.5,5,728
6.4,865,0.03,3.2,71,27.0,58.0,995,3.61,0.49,12.7,6,729
9.5,0.55,0.66,2.3,387,12.0,37.0,9.982,3.17,0.67,9.6,5,730
8.9,875,0.13,3.45,8.800.000.000.000.000,4.0,14.0,9.994,3.44,0.52,11.5,5,731
7.3,835,0.03,2.1,92,10.0,19.0,9.966,3.39,0.47,9.6,5,732
7.0,0.45,0.34,2.7,8.199.999.999.999.990,16.0,72.0,998,3.55,0.6,9.5,5,733
7.7,0.56,0.2,2.0,75,9.0,39.0,9.987,3.48,0.62,9.3,5,734
7.7,965,0.1,2.1,11.199.999.999.999.900,11.0,22.0,9.963,3.26,0.5,9.5,5,736
8.2,0.59,0.0,2.5,9.300.000.000.000.000,19.0,58.0,1.2002,3.5,0.65,9.3,6,737
9.0,0.69,0.0,2.4,8.800.000.000.000.000,19.0,38.0,9.990.000.000.000.000,3.35,0.6,9.3,5,739
8.3,0.76,0.29,4.2,75,12.0,16.0,9.965,3.45,0.68,11.5,6,740
9.2,0.53,0.24,2.6,78,28.0,139.0,9.978.799.999.999.990,3.21,0.57,9.5,5,741
11.1,0.39,0.54,2.7,95,21.0,101.0,1.2001,3.13,0.51,9.5,5,744
7.3,0.51,0.18,2.1,0.07,12.0,28.0,9.976.799.999.999.990,3.52,0.73,9.5,6,745
8.2,0.34,0.38,2.5,0.08,12.0,57.0,9.978,3.3,0.47,9.0,6,746
7.2,0.5,0.18,2.1,71,12.0,31.0,99.761,3.52,0.72,9.6,6,748
7.3,0.51,0.18,2.1,0.07,12.0,28.0,9.976.799.999.999.990,3.52,0.73,9.5,6,749
8.3,0.65,0.1,2.9,8.900.000.000.000.000,17.0,40.0,99.803,3.29,0.55,9.5,5,750
7.6,0.54,0.13,2.5,9.699.999.999.999.990,24.0,66.0,99.785,3.39,0.61,9.4,5,752
8.3,0.65,0.1,2.9,8.900.000.000.000.000,17.0,40.0,99.803,3.29,0.55,9.5,5,753
7.8,0.48,0.68,1.7,415,14.0,32.0,99.656,03.09,01.06,9.1,6,754
7.8,0.91,0.07,1.9,57.999.999.999.999.900,22.0,47.0,99.525,3.51,0.43,10.7,6,755
6.3,0.98,0.01,2.0,57,15.0,33.0,9.948.799.999.999.990,3.6,0.46,11.2,6,756
8.1,0.87,0.0,2.2,84,10.0,31.0,99.656,3.25,0.5,9.8,5,757
8.1,0.87,0.0,2.2,84,10.0,31.0,99.656,3.25,0.5,9.8,5,758
8.8,0.42,0.21,2.5,92,33.0,88.0,99.823,3.19,0.52,9.2,5,759
9.0,0.58,0.25,2.8,75,9.0,104.0,99.779,3.23,0.57,9.7,5,760
9.3,655,0.26,2.0,96,5.0,35.0,9.973.799.999.999.990,3.25,0.42,9.6,5,761
8.8,0.7,0.0,1.7,69,8.0,19.0,9.970.100.000.000.000,3.31,0.53,10.0,6,762
9.1,0.68,0.11,2.8,9.300.000.000.000.000,11.0,44.0,9.988.799.999.999.990,3.31,0.55,9.5,6,764
9.2,0.67,0.1,3.0,91,12.0,48.0,9.988.799.999.999.990,3.31,0.54,9.5,6,765
8.8,0.59,0.18,2.9,8.900.000.000.000.000,12.0,74.0,9.973.799.999.999.990,3.14,0.54,9.4,5,766
7.1,0.59,0.02,2.3,8.199.999.999.999.990,24.0,94.0,99.744,3.55,0.53,9.7,6,768
7.9,0.72,0.01,1.9,76,7.0,32.0,9.966.799.999.999.990,3.39,0.54,9.6,5,769
7.1,0.59,0.02,2.3,8.199.999.999.999.990,24.0,94.0,99.744,3.55,0.53,9.7,6,770
9.4,685,0.26,2.4,8.199.999.999.999.990,23.0,143.0,9.978,3.28,0.55,9.4,5,771
9.5,0.57,0.27,2.3,8.199.999.999.999.990,23.0,144.0,99.782,3.27,0.55,9.4,5,772
7.9,0.4,0.29,1.8,157,1.0,44.0,9.973,3.3,0.92,9.5,6,773
7.2,1.0,0.0,3.0,102,7.0,16.0,9.958.600.000.000.000,3.43,0.46,10.0,5,775
6.9,635,0.17,2.4,24.100.000.000.000.000,6.0,18.0,9.961,3.4,0.59,10.3,6,777
8.3,0.43,0.3,3.4,79,7.0,34.0,9.978.799.999.999.990,3.36,0.61,10.5,5,778
7.1,0.52,0.03,2.6,76,21.0,92.0,99.745,3.5,0.6,9.8,5,779
7.0,0.57,0.0,2.0,0.19,12.0,45.0,9.967.600.000.000.000,3.31,0.6,9.4,6,780
6.5,0.46,0.14,2.4,114,9.0,37.0,9.973.200.000.000.000,3.66,0.65,9.8,5,781
7.1,0.59,0.01,2.5,77,20.0,85.0,99.746,3.55,0.59,9.8,5,784
9.9,0.35,0.41,2.3,83,11.0,61.0,9.982,3.21,0.5,9.5,5,785
10.0,0.56,0.24,2.2,79,19.0,58.0,9.991,3.18,0.56,10.1,6,787
10.0,0.56,0.24,2.2,79,19.0,58.0,9.991,3.18,0.56,10.1,6,788
8.6,0.63,0.17,2.9,99,21.0,119.0,998,03.09,0.52,9.3,5,789
7.4,0.37,0.43,2.6,8.199.999.999.999.990,18.0,82.0,99.708,3.33,0.68,9.7,6,790
8.8,0.64,0.17,2.9,84,25.0,130.0,99.818,3.23,0.54,9.6,5,791
7.1,0.61,0.02,2.5,81,17.0,87.0,99.745,3.48,0.6,9.7,6,792
7.7,0.6,0.0,2.6,55,7.0,13.0,99.639,3.38,0.56,10.8,5,793
10.1,0.27,0.54,2.3,65,7.0,26.0,99.531,3.17,0.53,12.5,6,794
